topic_id,n_documents,ols_slope,ols_ci_low,ols_ci_high,ols_p,p_quadratic,nb_log_irr,nb_irr_per_year,nb_ci_low,nb_ci_high,nb_p,nb_alpha_hat,ols_q,nb_q,p_quad_q,ols_class,nb_class,clinical_label,trend_class
0,345,0.03249256107301834,-0.05968377661894118,0.12466889876497786,0.4696509235944506,0.07638191509991948,0.004767986484345707,1.0047793714191164,0.9797363180401198,1.0304625506268643,0.7111947978217925,0.04944717478627127,0.5152226080172178,0.7378646027401098,0.2715439738121177,Stable,Stable,Tranexamic Acid and Perioperative Blood Management,Stable
1,268,-0.25960733193229485,-0.31918668387002513,-0.20002797999456456,2.2715081386870475e-08,0.05348780736139567,-0.10023109048851779,0.9046283428735676,0.8823381634522472,0.9274816307709972,3.432070083558831e-15,0.0358002942811414,6.284505850367498e-07,7.121545423384573e-14,0.203850054337638,Decreasing,Decreasing,Acetabular Cup Orientation and Component Positioning,Cold
2,270,-0.4967972336705354,-0.5743730431938798,-0.419221424147191,3.913852572532952e-11,0.08179035355786678,-0.17939664061462085,0.8357743316001849,0.8114687008154176,0.860807980221317,1.0025500555852167e-32,0.05511673059999433,3.2484976352023503e-09,8.321165461357298e-31,0.2715439738121177,Decreasing,Decreasing,Primary Total Hip Arthroplasty Technique and Outcomes,Cold
3,238,0.16583593621055906,0.12110518840951315,0.21056668401160497,2.6281840373823516e-07,0.7033319909801703,0.07753900288956268,1.080624379109951,1.0524037794327683,1.1096017246879981,9.298103321378832e-09,0.00296865487907943,3.6356545850455866e-06,7.015841597040391e-08,0.7754414249602258,Increasing,Increasing,Periprosthetic Joint Infection Diagnosis and Treatment,Emerging
4,224,0.19902978039994837,0.15753642449917404,0.2405231363007227,4.938708130045752e-09,0.047614686168680344,0.11524958851932594,1.122153479248233,1.089994440287389,1.1552613338623132,7.941188613070084e-15,1e-06,2.0495638739689868e-07,1.318237309769634e-13,0.19760094760002342,Increasing,Increasing,KOOS and Knee-Specific PROMs,Emerging
5,233,0.14050576716048868,0.07496666709217534,0.20604486722880203,0.0002524562398306245,0.36986292370781226,0.07053984194782122,1.0730873224681345,1.0374420969123668,1.1099572738266272,4.265281253401336e-05,0.06850428321433297,0.0009524485411791742,0.00014160733761292433,0.617923565317666,Increasing,Increasing,Periprosthetic Joint Infection Diagnosis and Treatment (Odds),Emerging
6,197,0.18943470456826822,0.131879200223537,0.24699020891299944,1.4324767405982079e-06,0.7629739712689629,0.14662801524396718,1.1579231531458405,1.1061602951385197,1.2121082581646132,3.30051468651273e-10,0.09973991589836627,1.4861946183706406e-05,3.4242839872569573e-09,0.8118825591708195,Increasing,Increasing,Observational Study Design and Statistical Methods,Emerging
7,174,0.12495788252666841,0.0762691326125033,0.1736466324408335,3.4898247034238196e-05,0.44979219441527163,0.08287239331270009,1.0864031673933938,1.0479746788265891,1.1262408013941154,6.475625310038567e-06,0.04391004708450136,0.00018103465649011062,2.8288257933326374e-05,0.6469115547974263,Increasing,Increasing,Systematic Reviews and Meta-Analyses,Emerging
8,194,-0.13104938227744692,-0.19088969274853318,-0.07120907180636067,0.0002028151718419481,0.16138073729513966,-0.06847354488114311,0.933818164047269,0.9114542174922663,0.9567308448073657,3.086572553815144e-08,1e-06,0.0008016028220419854,2.1348793497221413e-07,0.3861275802434243,Decreasing,Decreasing,"Knee Kinematics, Gap Balancing, and ROM",Cold
9,183,0.08164352155096466,0.03072152953780658,0.13256551356412274,0.003320403386716798,0.715486982627979,0.050170419447084086,1.051450268681793,1.018845008022843,1.0850989687395391,0.0017988309343767983,0.029891395988990845,0.007066499515320365,0.004391263751566891,0.7754414249602258,Increasing,Increasing,Periprosthetic Joint Infection Diagnosis and Treatment (Synovial),Emerging
10,137,0.0743199487371178,0.044424745112569025,0.10421515236166656,5.0589089423888575e-05,0.5998177566640814,0.06355226245949745,1.0656151760161767,1.0307171337244987,1.101694796954356,0.00018341305611266925,1e-06,0.00024699378954016186,0.0005855109098981365,0.7321304971046877,Increasing,Increasing,Aseptic Loosening of Hip and Knee Implants,Emerging
